    PID TTY          TIME CMD
    773 ?        00:00:07 dbus-daemon
    774 ?        00:02:26 NetworkManager
    779 ?        00:00:36 iio-sensor-prox
    782 ?        00:00:22 irqbalance
    786 ?        00:00:00 networkd-dispat
    788 ?        00:00:02 polkitd
    790 ?        00:00:00 power-profiles-
    791 ?        00:00:01 rsyslogd
    798 ?        00:00:36 snapd
    799 ?        00:00:00 switcheroo-cont
    804 ?        00:00:00 systemd-logind
    807 ?        00:00:00 systemd-machine
    808 ?        00:05:38 thermald
    809 ?        00:00:00 udisksd
    810 ?        00:00:01 wpa_supplicant
    817 ?        00:00:00 avahi-daemon
    865 ?        00:00:00 ModemManager
    867 ?        00:00:00 boltd
    897 ?        00:00:29 anydesk
    901 ?        00:01:32 libvirtd
    905 ?        00:00:00 unattended-upgr
    908 ?        00:00:00 sshd
    994 ?        00:00:11 upowerd
   1020 ?        00:00:00 irq/213-nvidia
   1021 ?        00:00:00 nvidia
   1022 ?        00:00:00 nv_queue
   1090 ?        00:00:00 UVM global queue
   1091 ?        00:00:00 UVM deferred release queue
   1092 ?        00:00:00 UVM Tools Event Queue
   1095 ?        00:00:00 gdm3
   1108 ?        00:00:00 nvidia-persiste
   1382 ?        00:00:00 gdm-session-wor
   1387 ?        00:00:00 systemd
   1388 ?        00:00:00 (sd-pam)
   1394 ?        00:00:00 pipewire
   1395 ?        00:00:00 pipewire-media-
   1396 ?        00:02:39 pulseaudio
   1411 ?        00:00:01 gnome-keyring-d
   1419 ?        00:00:02 rtkit-daemon
   1449 ?        00:00:08 dbus-daemon
   1458 ?        00:00:01 xdg-document-po
   1461 ?        00:00:00 xdg-permission-
   1467 ?        00:00:00 fusermount3
   1476 ?        00:00:00 krfcommd
   1481 tty2     00:00:00 gdm-x-session
   1483 tty2     00:42:22 Xorg
   1637 ?        00:00:00 snapd-desktop-i
   1692 ?        00:00:07 snapd-desktop-i
   1695 tty2     00:00:00 gnome-session-b
   1783 ?        00:00:00 at-spi-bus-laun
   1803 ?        00:00:02 dbus-daemon
   1825 ?        00:00:06 xdg-desktop-por
   1829 ?        00:00:20 xdg-desktop-por
   1868 ?        00:00:00 gnome-session-c
   1878 ?        00:00:00 gvfsd
   1887 ?        00:00:00 gvfsd-fuse
   1903 ?        00:00:01 gnome-session-b
   1932 ?        00:51:29 gnome-shell
   1942 ?        00:00:02 xdg-desktop-por
   1949 ?        00:00:07 at-spi2-registr
   2029 ?        00:00:00 gnome-shell-cal
   2037 ?        00:00:00 evolution-sourc
   2043 ?        00:00:00 dconf-service
   2046 ?        00:00:00 goa-daemon
   2049 ?        00:00:00 gvfs-udisks2-vo
   2055 ?        00:00:00 evolution-calen
   2060 ?        00:00:00 gvfs-gphoto2-vo
   2069 ?        00:00:07 goa-identity-se
   2073 ?        00:00:08 gvfs-afc-volume
   2081 ?        00:00:00 gvfs-goa-volume
   2088 ?        00:00:00 gvfs-mtp-volume
   2099 ?        00:00:00 evolution-addre
   2107 ?        00:00:06 packagekitd
   2117 ?        00:00:01 gvfsd-trash
   2129 ?        00:00:00 gjs
   2148 ?        00:00:00 sh
   2149 ?        00:00:00 gsd-a11y-settin
   2151 ?        00:00:54 ibus-daemon
   2152 ?        00:00:01 gsd-color
   2156 ?        00:00:00 gsd-datetime
   2157 ?        00:00:05 gsd-housekeepin
   2160 ?        00:00:00 gsd-keyboard
   2164 ?        00:00:01 gsd-media-keys
   2167 ?        00:00:03 gsd-power
   2171 ?        00:00:00 gsd-print-notif
   2174 ?        00:00:00 gsd-rfkill
   2175 ?        00:00:00 gsd-screensaver
   2176 ?        00:00:00 gsd-sharing
   2178 ?        00:00:00 gsd-smartcard
   2179 ?        00:00:00 gsd-sound
   2182 ?        00:00:00 gsd-wacom
   2185 ?        00:00:01 gsd-xsettings
   2196 ?        00:00:00 gsd-disk-utilit
   2199 ?        00:00:00 evolution-alarm
   2251 ?        00:00:00 ibus-memconf
   2273 ?        00:00:10 ibus-extension-
   2281 ?        00:00:00 ibus-x11
   2287 ?        00:00:01 ibus-portal
   2306 ?        00:00:12 snap-store
   2312 ?        00:00:00 colord
   2367 ?        00:00:00 gjs
   2424 ?        00:00:13 ibus-engine-sim
   2515 ?        00:00:00 gsd-printer
   2522 ?        00:00:04 tracker-miner-f
   2737 ?        00:00:00 kworker/19:1H-kblockd
   2985 ?        00:00:10 fwupd
   3081 ?        00:06:02 code
   3087 ?        00:00:00 code
   3089 ?        00:00:00 code
   3122 ?        00:00:00 chrome_crashpad
   3370 ?        00:00:32 code
   3494 ?        00:03:40 code
   3596 ?        00:01:18 code
   3615 ?        00:04:58 code
   3678 ?        00:00:26 gjs
   3699 ?        00:00:00 gvfsd-metadata
   3856 ?        00:03:03 code
   3883 ?        00:00:39 code
   3884 ?        00:00:26 code
   3911 ?        00:05:45 code
   3921 ?        00:04:44 code
   4316 ?        00:00:00 virtlogd
   4377 ?        00:00:00 kerneloops
   4382 ?        00:00:00 kerneloops
   4383 ?        00:00:00 netserver
   5584 ?        00:00:05 update-notifier
   5821 ?        00:00:00 ssh-agent
   5960 ?        00:00:16 code
   6169 ?        00:00:00 dnsmasq
   6170 ?        00:00:00 dnsmasq
   6594 ?        00:00:00 gvfsd-network
   6603 ?        00:00:00 gvfsd-smb-brows
   6615 ?        00:00:00 gvfsd-dnssd
   7566 ?        00:05:20 java
   7881 ?        00:00:00 kworker/19:2-events
   7883 ?        00:00:09 kworker/19:3-events
   9832 ?        00:02:09 konsole
   9860 pts/0    00:00:00 bash
   9867 pts/0    00:00:00 start_qemu.sh
   9868 pts/0    00:00:00 sudo
   9869 pts/1    00:00:00 sudo
   9870 pts/1    04:55:36 qemu-system-x86
   9873 ?        00:00:00 kvm-nx-lpage-recovery-9870
   9888 ?        00:00:00 kvm-pit/9870
  15661 ?        00:00:01 gvfsd-recent
  15721 ?        00:00:06 kded5
  20681 ?        00:06:36 code
  20806 ?        00:16:03 code
  20892 ?        00:02:18 code
  20909 ?        00:00:12 code
  20944 ?        01:55:25 java
  20970 ?        00:03:52 code
  22629 ?        00:04:50 konsole
  22832 pts/8    01:52:23 htop
  34728 ?        00:00:14 code
